row_id,source,date,test_name,dtype_in,dtype_out,size,num_vcores,num_dies,partition,run_type,category,vcore_mhz,start_cycle,end_cycle,total_cycles,kernel_prolog_marker,warmup_cycles,meas_vs_warmup_ratio,file_path,parsed_at
e7861a354491a1c9,pldm,2026-05-23,add_bf16_bf16,bf16,bf16,1024,1,1,1,unknown,elementwise,1200,848,1637,789,913,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_add_bf16_bf16_1024_num_vcores_1_partition_1.vcd,2026-06-07T14:37:32+00:00
49cccacceada67ae,pldm,2026-05-23,add_bf16_bf16,bf16,bf16,1024,32,1,1,unknown,elementwise,1200,749,1703,954,812,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_add_bf16_bf16_1024_num_vcores_32_partition_1.vcd,2026-06-07T14:37:32+00:00
dc5af63b6fa8b606,pldm,2026-05-23,cast_down_bf16_bf16,bf16,bf16,1024,1,1,1,unknown,cast,1200,550,1388,837,612,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_cast_down_bf16_bf16_1024_num_vcores_1_partition_1.vcd,2026-06-07T14:37:32+00:00
0a5cf3a5a4e9c456,pldm,2026-05-23,cast_down_bf16_bf16,bf16,bf16,1024,32,1,1,unknown,cast,1200,649,2054,1406,712,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_cast_down_bf16_bf16_1024_num_vcores_32_partition_1.vcd,2026-06-07T14:37:32+00:00
bfea69cbba4d8092,pldm,2026-05-23,cast_mxfp8_bf16_bf16,bf16,bf16,1024,1,1,1,unknown,cast,1200,500,2730,2230,567,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_cast_mxfp8_bf16_bf16_1024_num_vcores_1_partition_1.vcd,2026-06-07T14:37:32+00:00
d8a676c90e127b4f,pldm,2026-05-23,cast_mxfp8_bf16_bf16,bf16,bf16,1024,32,1,1,unknown,cast,1200,642,3547,2905,711,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_cast_mxfp8_bf16_bf16_1024_num_vcores_32_partition_1.vcd,2026-06-07T14:37:32+00:00
20c535d1cba10aa8,pldm,2026-05-23,cast_up_fp32_fp32,fp32,fp32,1024,1,1,1,unknown,cast,1200,519,1356,837,583,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_cast_up_fp32_fp32_1024_num_vcores_1_partition_1.vcd,2026-06-07T14:37:32+00:00
be24fa0257727d91,pldm,2026-05-23,cast_up_fp32_fp32,fp32,fp32,1024,32,1,1,unknown,cast,1200,601,1624,1023,663,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_cast_up_fp32_fp32_1024_num_vcores_32_partition_1.vcd,2026-06-07T14:37:32+00:00
19a9a35b1a7f1522,pldm,2026-05-23,clamp_fp32_fp32,fp32,fp32,1024,1,1,1,unknown,elementwise,1200,975,2291,1316,1055,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_clamp_fp32_fp32_1024_num_vcores_1_partition_1.vcd,2026-06-07T14:37:32+00:00
737f6f80bcc05aea,pldm,2026-05-23,clamp_fp32_fp32,fp32,fp32,1024,32,1,1,unknown,elementwise,1200,972,4187,3215,1048,,,/home/shay.levy/traces/vcd_traces/pldm/20260523/py_asm_clamp_fp32_fp32_1024_num_vcores_32_partition_1.vcd,2026-06-07T14:37:32+00:00
